# =============================================================================
# Bluebonnet Studios — catalog source
#
# THIS FILE DECIDES WHAT THE PUBLIC SITE LISTS, AND WHAT IT SAYS ABOUT IT.
#
# Tab-separated, one line per app, eight columns:
#
#   slug  repo  subpath  name  category  platform  status  summary
#
# Everything here is authored and reviewed. Only two facts about an app are
# genuinely upstream and change without anyone editing this file — its latest
# release version and its declared licence — and those are the only two things
# fetch-catalog.sh pulls from GitHub, into catalog-cache.tsv. build.sh joins the
# two on the slug.
#
#   bash fetch-catalog.sh     refresh versions and licences from GitHub
#   bash build.sh             regenerate the site
#   bash build.sh --refresh   do both
#
# -----------------------------------------------------------------------------
# THE COLUMNS
#
#   slug       becomes <slug>.html, and is the one value that must NOT float:
#              changing it breaks every existing link to that page. Pinned here
#              rather than derived from a name someone might reword.
#
#   repo       owner/repo on GitHub. Read only for the version and the licence.
#
#   subpath    the .lrplugin folder of a Lightroom plugin. Its presence means
#              the version comes from that folder's Info.lua rather than a
#              repository release tag: plugins are versioned there, and a
#              repository holding several could not version them with one tag.
#              Leave empty for everything else.
#
#   name       the display name, exactly as it should appear.
#
#   category   Business | Web & Mobile | Lightroom | Geoscience
#              Must match a category in build.sh, or the app lists nowhere.
#
#   platform   free text, joined with a middle dot: Windows · macOS · Linux ·
#              GPU · Plugin · Python library · Web. Order is a house style, not
#              a rule the build enforces.
#
#   status     released | beta | private | dev
#              released — generally available, version and download published
#              beta     — feature-complete, still collecting reports
#              private  — built and versioned, handed out on request
#              dev      — being built, nothing to hand out yet
#              Set deliberately. Nothing infers this, because "handed out on
#              request" is a distribution decision no repository can express.
#
#   summary    one line, shown under the name in the roster. Sentence case, no
#              trailing full stop.
#
# Long-form page copy — the lede and the body sections — lives in tool_lede,
# tool_meta_desc and tool_prose in build.sh, keyed by slug. It is written for a
# public audience rather than for developers, so it is not a README and does not
# come from the app repository. The build warns about any app listed here with
# no page copy yet.
#
# TABS SEPARATE THE COLUMNS. Spaces inside a field are fine; a literal tab is
# not, which is why this is tab-separated rather than pipe- or space-delimited.
# =============================================================================

# slug	repo	subpath	name	category	platform	status	summary
project2excel	rcshou/Project2Excel		Project2Excel	Business	Windows · macOS	private	Microsoft Project files into editable Excel workbooks
pdf-classifier	rcshou/PDF_classifier		PDF Classifier	Business	Windows	private	Routes PDFs by text-layer quality before anyone pays for OCR
markdown-renderer	rcshou/md-reader_tauri		Markdown Renderer	Business	Windows · macOS	private	Markdown preview, linting and export with real tables and math
pdf-processor	rcshou/Chandra2_integration		PDF Processor for Embeddings	Business	Windows · GPU	dev	Sends only the PDF pages that need OCR to Chandra OCR 2, for embedding-ready output
vcard-cleaner	rcshou/vCard_cleaner		vCard Cleaner	Business	macOS	dev	Strips Outlook junk, photos and stray fields from .vcf contact files
bakmil-metro	rcshou/Bakmill_PWA		Bakmil Metro Schedule	Web & Mobile	Web	released	Next-departure times for the Bakmil metro shuttle in Baku
find-similar-photos	rcshou/lr-similar-photos	SimilarPhotos.lrplugin	Find Similar Photos	Lightroom	Plugin · macOS	private	Groups visually similar photos in a selection into collections
photo-statistics	rcshou/lr-photo-stats	PhotoStats.lrplugin	Photo Statistics	Lightroom	Plugin · macOS	private	Counts the file types in a selection and flags broken HEIC files
capture-year-check	rcshou/lr-datefix	DateFix.lrplugin	Check Capture Year vs Folder	Lightroom	Plugin · macOS	private	Flags photos whose capture year does not match their year folder
restore-missing-photos	rcshou/lr-missphotos	MissPhotos.lrplugin	Restore Missing Photos	Lightroom	Plugin	private	Puts files that Lightroom reports as missing back where the catalog expects them
face-assistant	rcshou/lr-faces	FaceAssistant.lrplugin	Face Assistant	Lightroom	Plugin · macOS	beta	Offline face recognition that applies your own person keywords
location-caption	rcshou/LR_location_caption		Location Caption Assistant	Lightroom	Plugin	beta	Suggests the landmark a GPS-tagged photo was actually taken at
geocrawler	rcshou/geocrawler_ps		Geocrawler	Geoscience	Windows	private	Audits a subsurface data repository and tells you what is in it
segy-coordinate-security	rcshou/seis_coord		SEG-Y Coordinate Security	Geoscience	Windows	private	Share seismic data without giving away where it was shot
apk-finder	rcshou/apk_finder		APK Finder	Web & Mobile	Android	released	Finds, checks and installs Android apps on devices with no Google Play Services
cassandra-risking	rcshou/cassandraV2		Cassandra Risking	Geoscience	Windows	private	New risking app

# =============================================================================
# Workspaces that are deliberately not listed are tracked outside this
# repository, in the studio's private notes. This file records what the public
# catalog publishes; it is not an inventory of everything that exists.
# =============================================================================
