# generated by fetch-catalog.sh — do not edit by hand
# Version and licence only. Everything else the site says lives in CATALOG.txt.
# slug	version	license
project2excel	1.0.12	Apache-2.0
pdf-classifier	1.0.9	Apache-2.0
markdown-renderer	1.9.6	Apache-2.0
pdf-processor	—	Apache-2.0
vcard-cleaner	—	Apache-2.0
bakmil-metro	—	Apache-2.0
find-similar-photos	2.0.0	Apache-2.0
photo-statistics	2.0.1	Apache-2.0
capture-year-check	2.1.1	Apache-2.0
restore-missing-photos	1.23.4	Apache-2.0
face-assistant	0.3.7	Apache-2.0
location-caption	0.3.2	Not stated
geocrawler	2.19.6	Apache-2.0
segy-coordinate-security	0.16.1	Apache-2.0
apk-finder	0.22.0	Apache-2.0
cassandra-risking	0.4.3	Not stated
